"fromedge","toedge"
1,2
3,2
5,8
6,8
8,13
10,9
11,10
12,10
13,17
14,13
15,17
16,15
17,20
18,15
19,23
20,23
21,20
22,9
23,26
24,26
25,28
26,28
28,32
29,38
30,38
31,40
32,40
33,37
34,37
35,32
36,51
37,51
39,45
40,43
41,43
42,45
43,42
44,52
45,52
46,50
47,42
48,47
49,50
52,54
53,54
54,57
55,47
56,64
57,64
59,57
60,61
61,55
62,59
63,55
64,82
65,61
66,72
67,82
68,72
69,59
70,65
71,65
72,81
73,81
74,88
75,88
76,69
77,71
78,77
79,84
80,84
81,85
82,93
83,93
84,107
85,107
86,69
87,71
88,118
89,118
90,86
91,87
92,99
93,99
94,86
95,94
96,77
97,100
98,101
99,101
100,85
101,100
102,103
103,87
104,103
105,94
106,108
107,108
108,115
109,113
110,113
111,115
112,111
113,112
114,122
115,122
116,112
117,121
118,121
119,111
120,119
121,123
122,123
123,125
124,125
125,128
126,128
127,119
128,130
129,138
130,138
131,127
132,127
133,130
135,137
136,137
137,139
138,139
139,145
140,145
141,146
142,146
143,148
144,148
145,149
146,153
147,153
148,154
149,154
150,156
151,156
152,149
153,175
154,175
155,161
156,161
157,160
159,170
160,170
161,168
164,168
165,185
166,185
167,173
168,173
169,183
170,177
171,177
172,176
173,176
174,178
175,178
176,189
177,181
178,181
179,183
180,189
181,196
182,196
183,182
184,200
185,191
186,191
187,186
188,187
189,198
190,200
191,190
192,190
193,187
194,193
196,206
197,217
198,217
199,202
200,202
201,198
202,210
203,193
204,203
205,216
206,216
207,206
208,223
209,223
210,218
211,218
212,203
213,212
214,186
216,238
217,220
218,242
219,220
220,224
221,210
222,212
223,230
224,230
225,224
226,222
227,207
228,242
229,238
230,232
231,235
232,235
233,232
234,240
235,240
236,222
237,236
238,237
239,237
240,261
241,261
242,241
243,236
244,207
245,241
246,245
247,254
248,250
249,254
250,249
252,251
253,252
254,260
255,250
256,252
257,262
258,262
259,245
260,259
261,263
262,269
263,269
264,263
265,264
266,251
267,259
268,270
269,270
270,272
271,273
272,273
273,277
274,272
275,279
276,279
277,280
278,264
279,288
280,288
281,280
283,277
284,278
287,290
288,290
289,278
290,296
291,296
292,295
293,283
294,299
295,299
296,295
297,283
298,301
299,301
300,306
301,306
303,304
305,311
306,311
307,304
308,312
309,312
310,309
311,314
312,314
313,309
314,317
315,329
316,323
317,323
318,307
319,328
320,317
321,320
322,318
323,326
324,320
325,322
326,328
327,330
328,330
329,331
330,333
331,335
332,326
333,322
334,338
335,338
336,332
337,336
338,337
339,332
340,336
